,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
197,商业百货,600865,百大集团,39.0,39.0,33.78,1.68,10.39,0.2,14.3,17.27,-10.35
198,商业百货,600858,银座股份,32.0,31.0,15.18,1.15,6.08,-0.6,6.9,12.59,9.95
199,商业百货,600827,百联股份,173.0,156.0,27.64,0.86,9.7,-0.7,1.8,8.99,-9.09
200,商业百货,600814,杭州解百,60.0,59.0,19.88,1.62,8.12,-0.0,3.6,7.84,-0.37
201,商业百货,600790,轻纺城,59.0,59.0,17.66,0.91,4.02,-0.7,5.0,10.14,10.44
202,商业百货,600785,新华百货,30.0,30.0,17.17,1.3,13.09,-0.4,7.7,11.88,2.11
203,商业百货,600738,丽尚国潮,39.0,39.0,24.73,1.97,5.18,-1.7,-2.8,-8.16,4.44
204,商业百货,600729,重庆百货,128.0,55.0,8.24,1.67,28.96,-0.6,-1.1,5.23,3.84
205,商业百货,600694,大商股份,66.0,66.0,8.63,0.75,19.04,-1.1,-3.7,-1.04,-17.43
206,商业百货,600693,东百集团,58.0,58.0,40.36,1.62,6.64,-0.9,13.1,11.22,-4.73
207,商业百货,600682,南京新百,107.0,92.0,32.06,0.6,7.93,-2.0,6.7,14.93,16.28
208,商业百货,002818,富森美,93.0,37.0,14.53,1.65,12.36,-0.4,3.1,-0.64,-13.32
209,商业百货,002697,红旗连锁,80.0,68.0,14.29,1.75,5.9,-3.9,0.2,11.32,1.72
210,商业百货,002419,天虹股份,67.0,67.0,21.74,1.6,5.72,-0.4,-0.2,9.58,-1.38
211,商业百货,002416,爱施德,149.0,148.0,33.73,2.62,12.06,-4.5,-2.3,6.73,-23.53
212,商业百货,002251,步步高,171.0,136.0,42.68,2.1,6.37,-10.2,22.3,27.66,61.27
213,商业百货,000785,居然智家,196.0,185.0,29.77,0.95,3.14,1.9,9.0,4.67,-12.04
214,商业百货,000715,中兴商业,33.0,33.0,34.2,1.72,6.18,-0.6,2.1,14.23,17.27
215,商业百货,000501,武商集团,85.0,85.0,25.62,0.77,11.01,-1.6,15.2,28.92,7.31
216,商业百货,000419,通程控股,33.0,33.0,20.01,0.92,6.13,-0.0,5.5,12.68,10.25
217,商业百货,000417,合百集团,48.0,48.0,14.1,1.01,6.18,-1.2,8.8,12.16,-1.44
218,石油行业,603798,康普顿,38.0,38.0,35.51,3.29,14.88,0.2,26.6,41.04,70.64
219,石油行业,002778,中晟高科,25.0,25.0,26.82,8.41,20.21,-0.3,10.7,6.14,15.75
220,石油行业,000698,沈阳化工,35.0,33.0,27.7,2.39,4.22,-0.4,1.4,6.84,25.22
221,石油行业,000554,泰山石油,33.0,25.0,18.27,3.06,6.95,-0.4,0.9,-10.78,18.6
222,贸易行业,603071,物产环能,78.0,78.0,12.87,1.42,13.94,-0.6,4.3,13.15,13.15
223,贸易行业,600981,汇鸿集团,71.0,71.0,31.94,1.37,3.15,-0.9,4.7,17.54,22.57
