,行业,代码
1044,汽车零部件,300432
1045,汽车零部件,603922
1046,汽车零部件,002703
1047,汽车零部件,603786
1048,汽车零部件,002516
1049,汽车零部件,603950
1050,汽车零部件,300733
1051,汽车零部件,301398
1052,汽车零部件,300473
1053,汽车零部件,301186
1054,汽车零部件,600178
1055,汽车零部件,600609
1056,汽车零部件,002190
1057,汽车零部件,605088
1058,汽车零部件,200030
1059,汽车零部件,002488
1060,汽车零部件,300428
1061,汽车零部件,002806
1062,汽车零部件,601799
1063,汽车零部件,000981
1064,汽车零部件,605319
1065,汽车零部件,603655
1066,汽车零部件,300926
1067,汽车零部件,002725
1068,汽车零部件,002715
1069,汽车零部件,605333
1070,汽车零部件,300863
1071,汽车零部件,002537
1072,汽车零部件,603586
1073,汽车零部件,605133
1074,汽车零部件,603390
1075,汽车零部件,603121
1076,汽车零部件,600698
1077,汽车零部件,300237
1078,汽车零部件,920106
1079,汽车零部件,000903
1080,汽车零部件,603758
1081,汽车零部件,000622
1082,仪器仪表,300066
1083,仪器仪表,688583
1084,仪器仪表,300553
1085,仪器仪表,603275
1086,仪器仪表,688665
1087,仪器仪表,300007
1088,仪器仪表,688622
1089,仪器仪表,001266
1090,仪器仪表,832145
1091,仪器仪表,300371
1092,仪器仪表,002849
1093,仪器仪表,688768
1094,仪器仪表,688320
1095,仪器仪表,603662
1096,仪器仪表,836504
1097,仪器仪表,301303
1098,仪器仪表,832491
1099,仪器仪表,870299
1100,仪器仪表,871263
1101,仪器仪表,002767
1102,仪器仪表,688450
1103,仪器仪表,430476
1104,仪器仪表,300838
1105,仪器仪表,688528
1106,仪器仪表,300354
1107,仪器仪表,301129
1108,仪器仪表,688115
1109,仪器仪表,300306
1110,仪器仪表,300667
1111,仪器仪表,603700
1112,仪器仪表,300259
1113,仪器仪表,300417
1114,仪器仪表,430556
1115,仪器仪表,830879
1116,仪器仪表,688056
1117,仪器仪表,688686
1118,仪器仪表,688610
1119,仪器仪表,300445
1120,仪器仪表,300112
1121,仪器仪表,836260
1122,仪器仪表,002658
1123,仪器仪表,688628
1124,仪器仪表,002877
1125,仪器仪表,300567
1126,仪器仪表,688671
1127,仪器仪表,301510
1128,仪器仪表,300557
1129,仪器仪表,002338
1130,仪器仪表,688112
1131,仪器仪表,002980
1132,仪器仪表,603100
1133,仪器仪表,300515
1134,仪器仪表,831175
1135,仪器仪表,430685
1136,仪器仪表,300165
1137,仪器仪表,300349
1138,仪器仪表,601222
1139,仪器仪表,834407
1140,仪器仪表,830779
1141,仪器仪表,688337
1142,仪器仪表,832651
1143,仪器仪表,300275
1144,仪器仪表,605056
1145,仪器仪表,920029
1146,仪器仪表,300370
1147,仪器仪表,831305
1148,仪器仪表,300720
1149,仪器仪表,002175
1150,仪器仪表,002819
1151,仪器仪表,301006
1152,仪器仪表,300862
1153,仪器仪表,301528
1154,仪器仪表,688600
1155,仪器仪表,300897
1156,公用事业,605162
1157,公用事业,605011
1158,公用事业,000692
1159,公用事业,600461
1160,公用事业,000598
1161,公用事业,002893
1162,公用事业,600052
1163,公用事业,000685
1164,公用事业,601368
1165,公用事业,603759
1166,公用事业,600168
1167,公用事业,601158
1168,公用事业,603291
1169,公用事业,600167
1170,公用事业,001210
1171,公用事业,000605
1172,公用事业,601199
1173,公用事业,600008
1174,公用事业,000544
1175,公用事业,001376
1176,公用事业,003039
1177,公用事业,600283
1178,公用事业,600187
1179,电源设备,301516
1180,电源设备,300870
1181,电源设备,300153
1182,电源设备,300693
1183,电源设备,600475
1184,电源设备,300491
1185,电源设备,002366
1186,电源设备,002335
1187,电源设备,002364
1188,电源设备,301386
1189,电源设备,600405
1190,电源设备,600202
1191,电源设备,301327
1192,电源设备,300713
1193,电源设备,002255
