序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
125,301580,爱迪特,43.65,6.91,2.82,44014.0,186873798.27,7.89,43.8,40.58,40.77,40.83,3.99,6.11,37.19,2.36,4651542040.0,3143541701.0,-0.02,0.34,24.82,6.36
126,300141,和顺电气,9.94,6.88,0.64,265560.0,266592904.76,14.84,10.65,9.27,9.27,9.3,2.1,10.51,-47.73,3.93,2523612924.0,2511537723.0,-0.3,0.3,24.87,-6.58
127,688059,华锐精密,49.7,6.88,3.2,54993.0,271071744.0,6.34,50.65,47.7,47.9,46.5,1.88,6.31,37.06,3.56,4331851205.0,4331851205.0,-0.08,-0.06,25.85,57.78
128,600744,华银电力,9.17,6.88,0.59,4777733.0,4320226177.0,11.89,9.28,8.26,8.26,8.58,1.24,23.52,61.53,16.3,18625409593.0,18625409593.0,-0.11,0.22,138.8,194.86
129,834062,科润智控,12.47,6.86,0.8,338557.0,428622826.81,17.57,13.69,11.64,11.65,11.67,1.51,25.36,49.38,3.23,2353167274.0,1664869762.0,-0.08,0.89,37.49,63.43
130,300610,晨化股份,13.0,6.82,0.83,285163.0,361726116.71,9.78,13.19,12.0,12.18,12.17,1.81,17.69,25.86,2.45,2795103740.0,2096088436.0,-0.15,0.08,37.71,32.65
131,605366,宏柏新材,8.24,6.74,0.52,1157821.0,891970941.0,11.66,8.26,7.36,7.72,7.72,4.75,18.31,-231.81,2.52,5210421217.0,5210421217.0,0.0,1.73,50.36,52.03
132,000603,盛达资源,16.65,6.73,1.05,469992.0,780680517.35,4.36,16.95,16.27,16.5,15.6,2.5,7.05,346.69,3.87,11487989611.0,11100827377.0,-0.06,-0.06,17.01,40.03
133,688489,三未信安,43.76,6.71,2.75,57642.0,254043179.0,7.58,45.44,42.33,43.86,41.01,2.02,11.41,-36.92,2.78,5022268510.0,2211322855.0,-0.39,0.0,29.2,27.25
134,300229,拓尔思,20.51,6.71,1.29,1342748.0,2676019328.91,8.74,20.95,19.27,19.89,19.22,3.61,15.38,-195.36,4.37,17917965315.0,17905850079.0,0.0,0.0,9.86,-2.05
135,603298,杭叉集团,22.4,6.67,1.4,215771.0,474610035.0,7.57,22.62,21.03,21.04,21.0,2.19,1.65,16.81,2.95,29339789898.0,29339789898.0,0.04,-0.04,26.2,28.81
