,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),29日平均涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
1166,医药商业,605266,健之佳,32.82491791,32.82491791,24.48,1.27,-0.37,-2.52,-0.04,9.82,-3.54
1167,医药商业,002462,嘉事堂,39.90553402,39.87315332,21.62,0.92,-0.59,0.07,0.03,13.43,7.29
1168,医药商业,002727,一心堂,96.09763691,65.19897026,15.01,1.31,-0.59,-7.42,-0.04,26.91,28.91
1169,医药商业,000411,英特集团,57.51255449,35.57003036,14.26,1.29,-0.62,2.82,0.13,10.42,7.3
1170,医药商业,000705,浙江震元,29.13555054,24.58653931,20.3,1.47,-0.65,2.11,0.11,13.54,11.08
1171,医药商业,000028,国药一致,141.08924702,121.18661599,10.75,0.79,-0.66,0.4,0.05,4.28,-12.22
1172,医药商业,600829,人民同泰,43.89756679,43.89756679,23.94,1.5,-0.78,-8.14,-0.15,2.57,0.93
1173,医药商业,600998,九州通,278.84860394,278.84860394,7.19,1.1,-0.82,4.5,0.23,21.01,12.4
1174,医药商业,603368,柳药集团,68.96356969,68.67049555,6.22,0.93,-0.83,1.47,0.1,7.39,1.05
1175,医药商业,000950,重药控股,89.86560419,89.86560419,17.94,0.79,-0.87,3.41,0.14,7.44,-2.8
1176,医药商业,600056,中国医药,159.75995709,159.70353785,24.01,1.35,-1.04,0.0,0.05,6.8,-3.0
1177,医药商业,603883,XD老百姓,145.33028121,145.09981312,14.5,2.15,-6.67,-0.87,0.07,1.32,17.37
1178,化学原料,600989,宝丰能源,1160.137552,1160.137552,11.9,2.73,4.63,-3.17,-0.08,7.77,-3.71
1179,化学原料,000301,东方盛虹,569.22672856,568.99644791,41.71,1.69,0.62,2.36,0.07,9.13,4.87
1180,化学原料,603062,麦加芯彩,50.5656,17.73841248,25.21,2.53,0.34,4.47,0.19,-1.1,34.04
1181,化学原料,603213,镇洋发展,54.47499076,54.47499076,41.17,2.96,0.26,23.08,0.77,41.24,45.92
1182,化学原料,002895,川恒股份,140.03210194,137.45428529,17.33,2.15,0.03,-1.49,-0.09,4.47,-0.21
1183,化学原料,603113,金能科技,58.93269027,58.93269027,19.4,0.7,-0.03,16.22,0.49,33.65,26.13
1184,化学原料,603067,振华股份,104.55283675,104.55283675,22.27,3.29,-0.04,-8.67,-0.21,25.19,65.1
1185,化学原料,601568,北元集团,169.21666674,169.21666674,48.19,1.49,-0.08,2.91,0.13,11.23,3.9
1186,化学原料,301059,金三江,27.2068258,24.33294796,44.09,4.79,-0.08,8.36,0.33,17.23,-2.97
1187,化学原料,002748,世龙实业,23.712,23.712,24.52,1.75,-0.12,11.82,0.43,26.67,22.43
1188,化学原料,001358,兴欣新材,28.80416,11.91826058,41.16,2.06,-0.15,-0.26,0.04,12.46,7.35
1189,化学原料,002601,龙佰集团,395.17016319,329.18229002,14.4,1.75,-0.17,4.39,0.14,2.86,-3.55
1190,化学原料,301065,本立科技,24.723864,20.122245,40.54,1.91,-0.18,2.19,0.24,0.56,25.65
1191,化学原料,000830,鲁西化工,200.37709011,199.74365282,12.13,1.09,-0.18,4.17,0.13,-3.58,-7.5
1192,化学原料,003017,大洋生物,22.7556,18.73502763,19.39,2.16,-0.18,8.45,0.39,34.84,47.87
1193,化学原料,601065,江盐集团,53.6718026,34.7573826,17.96,1.25,-0.18,2.96,0.11,1.58,-2.34
1194,化学原料,600623,华谊集团,169.61421927,149.56017388,29.82,0.76,-0.23,10.94,0.45,19.08,14.14
1195,化学原料,301286,侨源股份,109.58739,44.17442684,49.42,6.16,-0.23,0.11,0.03,7.75,-22.54
1196,化学原料,603299,苏盐井神,76.44617216,76.01480501,11.83,1.3,-0.39,5.19,0.17,-4.68,-8.6
1197,化学原料,301395,仁信新材,27.95208541,15.81824341,32.33,1.81,-0.41,5.0,0.21,20.02,25.66
1198,化学原料,601678,滨化股份,90.9121634,89.7187634,23.68,0.8,-0.47,6.33,0.22,13.62,18.82
1199,化学原料,600618,氯碱化工,115.29307761,74.75904561,12.45,1.29,-0.55,6.24,0.24,8.61,1.12
1200,化学原料,603310,巍华新材,64.06057,12.812856,47.83,1.65,-0.65,-3.3,0.02,11.68,2.2
1201,化学原料,831304,迪尔化工,24.1646832,11.73761636,42.48,4.98,-0.69,-0.54,0.07,-7.29,16.97
1202,化学原料,002469,三维化学,54.43957466,52.76428303,26.41,2.11,-0.72,1.7,0.07,6.88,19.86
1203,化学原料,301149,隆华新材,50.2670021,30.36116127,22.0,2.59,-0.83,5.02,0.22,23.31,19.16
1204,化学原料,000990,诚志股份,92.72262392,92.72255525,27.62,0.52,-0.85,2.64,0.05,5.39,-0.91
1205,化学原料,603004,鼎龙科技,52.238336,13.059584,36.31,2.64,-0.87,2.35,0.15,20.09,8.73
1206,化学原料,002648,卫星化学,586.48121463,586.10460064,9.35,1.95,-1.19,6.19,0.27,7.4,-4.81
1207,化学原料,600746,江苏索普,94.82884218,94.68588658,41.53,1.76,-1.2,0.5,0.05,-15.24,15.83
1208,化学原料,000683,博源化工,186.30882691,166.2372871,13.73,1.35,-1.22,6.75,0.24,4.81,-5.29
1209,化学原料,002145,中核钛白,161.02223334,158.551632,30.02,1.33,-1.23,2.39,0.05,3.42,0.24
1210,化学原料,600727,鲁北化工,41.33520116,41.33050916,28.7,1.31,-1.35,4.16,0.17,-2.37,6.98
1211,化学原料,600367,红星发展,52.84117672,49.87364589,45.07,2.2,-1.54,19.04,0.74,16.29,34.46
1212,化学原料,688267,中触媒,53.15954,27.99991987,32.64,1.96,-1.9,17.21,0.59,28.0,30.27
1213,化学原料,601216,君正集团,462.40335297,462.40335297,11.48,1.71,-2.16,6.55,0.24,6.0,7.24
1214,化学原料,600426,华鲁恒升,453.09514757,452.23227641,16.02,1.46,-4.09,4.31,0.14,4.2,0.14
1215,化学原料,002125,湘潭电化,85.35772028,85.35772028,45.09,2.9,-8.42,38.72,1.27,42.44,36.69
1216,化肥行业,000792,盐湖股份,938.72496877,938.72012664,20.51,2.49,2.63,10.97,0.35,6.55,7.78
1217,化肥行业,002999,天禾股份,24.852828,24.56716763,43.56,2.1,0.28,6.55,0.25,20.37,23.28
1218,化肥行业,000912,泸天化,72.2848,72.2848,49.07,1.13,0.26,-1.07,0.03,2.22,5.25
1219,化肥行业,000902,新洋丰,178.04665882,162.16083774,8.65,1.67,-0.48,3.73,0.17,4.88,11.38
1220,化肥行业,002588,史丹利,103.32471061,77.01620203,8.96,1.51,-0.52,1.14,0.07,18.34,25.98
1221,化肥行业,002538,司尔特,46.17736678,46.17706652,30.48,0.88,-0.7,8.28,0.28,-6.4,-1.64
1222,化肥行业,300387,富邦科技,26.73777417,26.72848966,28.91,1.95,-0.88,8.34,0.38,6.44,16.65
1223,化肥行业,000408,藏格矿业,680.22179273,680.21464493,22.76,4.7,-1.18,15.1,0.5,26.0,56.22
1224,化肥行业,002539,云图控股,123.3085961,90.16860013,12.15,1.39,-1.5,23.38,0.69,36.86,33.99
1225,化肥行业,002170,芭田股份,103.54354599,84.1500668,15.17,3.32,-1.75,11.83,0.49,14.01,27.1
1226,化肥行业,002545,东方铁塔,119.55436618,108.60873234,14.52,1.36,-1.93,24.67,0.79,32.37,36.7
1227,化肥行业,600141,兴发集团,243.7092356,243.7092356,19.62,1.18,-2.34,10.92,0.36,14.1,6.71
1228,化肥行业,000893,亚钾国际,300.40904089,263.89019606,19.54,2.49,-3.01,12.5,0.43,26.06,61.26
1229,化肥行业,002556,辉隆股份,55.74991491,55.07676054,17.03,1.58,-3.36,4.45,0.25,9.48,9.48
1230,化肥行业,600096,云天化,411.81360613,411.81360613,7.98,1.95,-4.32,4.1,0.13,8.35,8.03
1231,化肥行业,300505,川金诺,54.20387554,42.86363298,18.82,2.14,-5.33,15.22,0.55,25.45,39.86
1232,消费电子,002600,领益智造,622.32656036,612.69230364,27.53,3.08,4.33,9.91,0.35,23.5,11.28
1233,消费电子,300679,电连技术,181.21033772,152.89494751,36.75,3.74,1.55,-4.28,-0.05,-16.71,-27.81
1234,消费电子,002866,传艺科技,55.06713309,34.47688944,35.26,2.69,1.15,18.02,0.61,33.66,17.55
1235,消费电子,002947,恒铭达,90.95431428,68.3039912,21.01,2.92,1.14,16.03,0.53,21.87,8.43
1236,消费电子,605277,新亚电子,79.48525867,76.95707864,42.04,5.39,1.04,64.5,1.8,66.85,75.57
1237,消费电子,300866,安克创新,614.3518504,344.76367331,30.98,7.17,1.02,16.8,0.49,47.48,20.22
1238,消费电子,002981,朝阳科技,36.42366387,32.16150663,43.03,3.58,0.37,17.07,0.66,33.58,16.78
